Origin,Destination,TemperatureC,WindSpeedKph,ScheduledDepartureHour,DelayMinutes
BLR,BOM,32.4,15.0,15,0
BLR,MAA,25.6,13.6,22,0
BLR,DEL,26.7,18.3,9,6
HYD,BOM,29.8,0.5,16,1
MAA,BOM,34.7,21.2,3,0
BOM,BLR,26.8,12.4,18,58
BOM,HYD,27.0,9.9,20,21
DEL,MAA,23.6,11.5,14,31
DEL,MAA,22.3,6.2,19,51
BOM,MAA,31.2,4.7,4,0
HYD,MAA,31.6,24.9,9,0
MAA,HYD,25.9,19.2,17,40
BLR,MAA,30.8,15.0,9,27
BOM,HYD,28.6,13.8,19,43
HYD,MAA,30.8,5.4,18,12
BLR,DEL,26.9,12.4,20,13
MAA,BLR,30.0,14.4,5,0
HYD,BLR,34.5,12.6,13,0
BLR,HYD,26.7,0.0,23,1
DEL,MAA,27.2,1.0,1,57
MAA,BLR,23.5,18.0,21,0
BOM,MAA,31.3,18.8,8,16
HYD,MAA,34.4,8.6,23,20
HYD,BOM,30.8,9.2,5,0
HYD,BLR,21.2,1.5,4,8
MAA,DEL,22.1,14.0,5,24
BOM,MAA,26.4,17.1,12,0
DEL,MAA,26.7,10.0,2,20
MAA,HYD,21.5,16.1,13,38
DEL,MAA,28.8,8.2,4,13
BOM,HYD,29.8,20.4,12,14
HYD,BLR,23.4,13.1,7,51
BLR,BOM,25.6,24.2,18,0
MAA,HYD,33.0,4.2,19,38
HYD,BOM,26.2,22.0,20,2
BOM,MAA,35.0,6.8,23,38
BOM,HYD,23.7,22.1,10,27
MAA,HYD,29.6,11.6,14,19
BOM,BLR,33.5,4.6,3,13
HYD,BOM,26.6,22.9,23,18
HYD,MAA,23.9,21.4,8,30
HYD,BLR,33.5,11.7,6,45
MAA,HYD,32.1,13.0,18,47
DEL,BLR,34.6,16.0,7,24
DEL,HYD,34.9,9.2,19,0
MAA,DEL,30.4,6.1,2,0
BLR,BOM,20.5,6.1,22,17
HYD,DEL,26.2,24.6,11,22
MAA,BLR,23.8,20.5,21,25
BLR,DEL,28.3,21.5,14,16
BOM,MAA,32.0,10.1,8,47
BLR,MAA,32.0,12.1,13,3
BOM,BLR,21.5,20.8,1,0
HYD,BLR,27.1,14.2,4,39
DEL,MAA,33.9,1.1,4,30
BLR,DEL,34.0,4.8,1,32
BOM,HYD,34.4,3.5,5,1
DEL,BOM,20.4,0.4,15,0
HYD,MAA,21.9,19.0,6,49
BLR,DEL,32.6,22.8,17,0
DEL,MAA,25.4,3.5,10,12
BLR,BOM,28.5,16.6,17,29
MAA,HYD,27.8,13.2,1,10
MAA,HYD,30.5,19.1,10,27
HYD,BOM,33.9,7.7,4,40
HYD,BLR,28.3,4.0,20,10
BLR,MAA,22.6,19.9,13,26
DEL,BLR,28.3,16.9,19,21
BOM,MAA,30.1,4.0,9,4
HYD,BOM,29.8,3.1,15,0
MAA,HYD,20.5,11.6,12,0
BLR,MAA,20.1,3.9,18,1
BOM,DEL,25.9,16.1,9,12
MAA,HYD,32.4,8.3,9,2
MAA,BOM,29.3,3.8,15,17
MAA,DEL,34.3,1.5,8,0
HYD,DEL,25.1,20.2,22,0
BLR,BOM,27.1,22.1,8,0
BOM,HYD,21.5,4.1,9,4
DEL,BOM,24.0,4.0,11,11
MAA,BLR,27.6,7.1,19,14
BOM,HYD,23.1,21.9,1,0
DEL,MAA,27.4,9.2,17,32
HYD,BLR,25.6,3.0,13,0
HYD,DEL,33.9,17.7,8,8
BLR,HYD,28.8,7.5,10,15
DEL,HYD,31.0,15.8,11,0
BOM,HYD,21.8,0.5,4,3
MAA,BOM,34.0,16.0,9,0
HYD,BOM,31.8,3.9,6,55
HYD,BOM,20.7,21.4,17,28
HYD,BOM,22.0,9.2,4,13
BOM,DEL,31.9,14.4,16,39
DEL,HYD,26.5,3.9,21,41
MAA,BLR,30.0,20.9,17,0
MAA,BLR,22.8,11.7,11,9
BOM,BLR,21.1,8.8,6,26
BOM,BLR,27.0,11.3,21,46
MAA,HYD,30.0,23.7,17,18
DEL,BOM,26.7,11.5,12,25
DEL,BLR,33.5,5.0,14,9
HYD,DEL,20.3,4.5,6,0
HYD,BOM,23.2,4.2,21,19
BLR,MAA,29.4,18.3,16,44
MAA,BOM,33.6,6.3,3,12
BOM,DEL,24.6,4.5,3,19
HYD,DEL,21.5,5.8,12,15
BOM,HYD,20.5,13.0,16,4
HYD,BOM,28.9,0.3,3,10
BOM,HYD,23.9,17.6,19,10
HYD,MAA,22.6,21.5,7,19
BLR,HYD,32.3,3.8,15,0
BOM,HYD,21.1,24.4,0,0
DEL,HYD,31.7,18.3,4,14
MAA,HYD,27.4,9.8,13,0
DEL,HYD,27.4,10.4,1,0
MAA,BOM,25.7,15.5,20,12
BLR,HYD,29.2,6.6,11,36
HYD,BOM,26.6,14.3,2,0
HYD,MAA,29.8,23.9,19,17
DEL,BLR,27.4,8.7,17,0
MAA,BLR,31.4,15.9,4,13
BOM,HYD,28.5,10.3,20,39
BOM,HYD,28.7,19.2,20,0
MAA,DEL,27.0,14.9,13,6
BLR,BOM,23.9,21.6,3,14
MAA,DEL,28.2,0.7,16,0
MAA,BLR,27.7,16.1,4,0
MAA,HYD,31.5,6.3,13,21
DEL,HYD,34.0,22.2,17,21
HYD,BOM,32.4,12.9,10,0
DEL,BOM,30.9,3.0,11,3
BOM,BLR,21.2,14.8,4,63
BLR,MAA,27.7,12.6,13,0
DEL,BOM,26.6,3.2,23,0
MAA,BLR,26.1,17.2,0,17
BOM,BLR,24.9,3.0,13,28
HYD,MAA,32.3,14.6,2,14
BLR,BOM,21.2,15.4,13,0
DEL,BOM,26.5,12.4,5,0
MAA,DEL,29.6,10.6,16,7
HYD,MAA,23.9,16.7,2,11
BOM,MAA,29.9,9.5,13,0
BLR,MAA,26.5,19.7,6,21
MAA,DEL,30.2,15.0,3,7
MAA,BLR,22.8,3.9,12,25
HYD,MAA,31.3,10.6,21,0
BOM,DEL,32.6,10.4,13,2
BOM,BLR,34.0,14.9,10,15
DEL,BOM,29.3,24.8,15,44
BOM,DEL,21.1,12.3,21,12
MAA,BLR,21.5,2.4,2,4
DEL,HYD,25.9,19.7,22,44
DEL,BOM,24.6,14.8,18,19
MAA,HYD,28.1,14.6,12,22
DEL,BLR,30.3,15.9,4,32
BLR,BOM,30.4,11.8,22,0
MAA,BLR,32.3,13.0,14,23
HYD,BOM,32.2,3.8,5,23
BLR,BOM,31.5,9.3,13,0
HYD,BLR,20.0,5.3,7,36
DEL,MAA,25.0,2.3,16,21
HYD,MAA,22.0,2.4,16,8
DEL,BOM,32.1,6.3,1,0
BLR,DEL,28.1,19.9,15,9
MAA,BLR,25.4,11.5,0,16
BOM,BLR,21.4,13.2,0,1
BOM,BLR,31.0,21.9,0,0
BOM,HYD,32.9,5.6,23,17
MAA,BLR,25.7,23.9,0,0
BOM,HYD,29.0,23.1,10,0
HYD,MAA,20.1,10.4,7,14
HYD,MAA,26.8,22.3,1,23
BOM,HYD,21.7,13.7,14,0
DEL,BOM,32.8,18.7,7,48
BOM,HYD,28.6,23.5,23,4
HYD,DEL,23.3,14.4,17,16
BLR,DEL,28.5,1.5,0,26
HYD,BOM,34.3,18.9,4,15
BLR,DEL,28.1,18.8,10,21
BLR,MAA,26.5,16.6,18,41
HYD,BOM,27.3,19.3,14,0
BOM,DEL,23.5,2.7,18,38
BLR,BOM,25.1,0.2,7,63
HYD,MAA,27.1,2.2,18,46
BLR,HYD,31.7,4.6,19,0
BOM,DEL,21.2,3.3,21,0
HYD,BLR,32.1,20.4,10,28
DEL,HYD,26.6,16.9,0,0
BOM,DEL,22.4,4.3,16,41
MAA,BLR,33.8,6.2,4,45
DEL,BOM,24.6,4.6,14,10
DEL,MAA,24.2,1.7,19,17
BOM,BLR,24.8,3.6,22,0
BLR,HYD,22.7,5.6,13,23
MAA,HYD,20.6,16.5,2,17
BOM,DEL,30.4,5.6,8,3
BLR,BOM,30.1,8.2,4,0
BOM,BLR,29.1,4.2,13,35
HYD,BOM,29.4,20.7,8,0
MAA,BOM,31.3,1.8,0,4
BOM,MAA,34.0,23.0,20,26
HYD,MAA,33.6,7.6,3,2
MAA,BLR,22.4,15.5,3,54
BLR,MAA,32.6,20.0,2,0
BOM,MAA,23.2,21.3,20,46
BLR,DEL,29.8,10.2,17,4
HYD,MAA,24.4,14.6,21,6
DEL,BLR,30.4,2.1,16,0
HYD,BOM,34.4,3.1,8,0
BLR,DEL,22.8,11.1,12,0
MAA,BLR,27.9,18.3,8,11
HYD,BOM,33.2,12.6,22,1
DEL,BOM,33.6,1.3,13,0
HYD,MAA,29.7,12.2,3,32
BLR,MAA,27.4,2.1,23,0
DEL,HYD,34.7,23.7,4,20
MAA,HYD,23.6,10.1,7,19
BOM,BLR,23.3,17.0,3,25
BLR,BOM,21.0,3.4,4,23
BLR,BOM,25.3,19.7,15,30
DEL,MAA,28.7,10.6,16,0
HYD,BOM,28.1,19.9,10,43
BLR,DEL,27.5,14.2,23,4
HYD,BLR,23.9,22.4,18,0
HYD,DEL,24.4,5.2,16,0
BOM,MAA,20.2,3.3,23,0
HYD,DEL,20.8,11.7,12,22
MAA,HYD,30.1,0.1,2,18
HYD,BLR,33.4,1.6,1,0
DEL,BLR,21.8,7.6,7,0
MAA,HYD,27.3,7.3,21,17
HYD,DEL,33.9,18.0,0,25
DEL,MAA,34.4,4.5,20,0
BOM,HYD,30.8,22.7,22,32
MAA,BOM,34.0,17.5,0,0
BLR,MAA,20.3,20.8,18,0
DEL,BOM,26.4,15.9,19,0
DEL,MAA,33.6,0.4,23,21
MAA,BLR,27.9,3.7,14,6
MAA,BLR,21.5,15.8,18,17
HYD,DEL,22.9,22.6,17,9
BOM,DEL,20.3,16.1,11,22
BLR,HYD,25.8,17.0,11,20
BLR,DEL,28.7,0.8,6,12
DEL,HYD,29.9,24.7,15,22
BOM,MAA,33.8,18.0,22,0
MAA,DEL,25.9,11.9,7,19
HYD,BOM,22.2,12.9,20,0
BLR,HYD,22.1,14.6,9,33
DEL,BLR,31.3,22.5,7,7
DEL,HYD,31.0,20.1,18,21
BOM,MAA,34.4,12.7,5,0
DEL,BOM,22.0,10.4,19,30
BOM,MAA,34.0,17.1,23,0
MAA,BOM,24.9,17.7,7,17
BLR,DEL,29.4,16.5,22,27
MAA,DEL,23.7,5.7,4,55
DEL,HYD,31.7,9.0,12,0
BOM,MAA,33.7,16.3,2,11
BLR,BOM,22.1,14.9,0,0
DEL,BOM,26.8,20.8,9,24
BOM,BLR,26.0,10.3,14,12
HYD,DEL,30.5,3.0,11,23
MAA,BLR,22.6,15.7,9,47
BLR,BOM,22.8,17.7,14,41
HYD,BOM,26.9,2.0,10,17
BLR,DEL,26.8,6.2,23,0
MAA,DEL,27.6,9.8,12,50
DEL,HYD,24.5,17.8,14,16
DEL,BOM,32.1,1.9,6,0
BOM,MAA,28.0,22.2,16,6
BLR,HYD,27.5,13.4,7,42
MAA,HYD,24.2,21.7,16,5
BLR,HYD,21.9,13.4,15,5
DEL,HYD,25.0,17.6,10,2
BOM,MAA,29.1,22.2,21,0
DEL,HYD,23.1,19.6,8,2
BLR,BOM,21.6,20.9,14,14
HYD,BOM,23.9,21.8,10,20
BLR,BOM,29.5,6.0,10,2
MAA,HYD,25.2,22.8,1,9
HYD,DEL,29.1,2.5,23,0
HYD,DEL,30.1,12.5,17,9
DEL,MAA,34.4,10.6,20,71
HYD,DEL,30.2,9.0,19,38
DEL,BOM,33.9,5.2,8,0
BLR,HYD,20.7,23.1,6,18
DEL,HYD,30.0,9.0,3,0
BOM,MAA,23.1,1.3,14,5
HYD,DEL,26.4,2.3,11,22
DEL,HYD,27.6,6.0,22,52
HYD,DEL,20.8,6.2,14,12
DEL,BLR,28.1,20.6,2,11
BLR,DEL,29.7,5.5,18,32
DEL,BOM,31.5,21.8,9,9
DEL,BOM,24.8,16.3,10,31
MAA,BOM,21.5,20.7,5,3
DEL,MAA,27.5,3.8,21,20
BLR,HYD,21.6,8.2,21,11
MAA,HYD,25.4,22.1,13,6
DEL,HYD,29.4,21.9,6,25
DEL,BLR,23.8,18.3,7,38
BLR,DEL,30.5,5.3,20,32
MAA,BOM,26.3,19.8,12,28
HYD,BOM,20.1,20.0,0,9
BLR,BOM,27.1,2.7,19,8
BLR,HYD,32.5,5.8,11,0
BLR,BOM,24.5,17.1,19,9
MAA,BOM,33.5,8.5,20,0
HYD,MAA,21.9,7.3,12,29
MAA,BLR,29.2,5.7,4,16
MAA,DEL,34.8,2.6,3,0
HYD,BOM,27.2,16.5,7,0
DEL,MAA,27.3,17.0,23,6
HYD,DEL,30.9,16.4,10,0
HYD,BLR,26.8,11.5,9,13
MAA,HYD,32.1,21.7,0,5
HYD,DEL,23.4,14.4,23,0
DEL,MAA,21.6,2.0,4,3
BOM,BLR,31.9,23.3,5,8
HYD,BOM,23.0,18.0,18,16
BOM,DEL,24.3,9.5,5,0
HYD,DEL,26.5,12.8,12,38
HYD,MAA,26.3,10.7,20,0
HYD,BOM,24.9,21.7,11,3
MAA,DEL,23.8,18.8,23,32
BOM,MAA,26.3,0.0,4,0
BOM,MAA,22.0,14.7,1,60
MAA,DEL,28.3,1.0,5,16
MAA,DEL,21.8,20.8,18,43
HYD,MAA,23.9,8.6,1,19
MAA,BOM,32.3,11.0,10,22
BLR,BOM,23.2,0.3,12,36
MAA,BLR,33.5,14.1,14,58
BLR,DEL,29.7,24.5,23,0
HYD,BLR,23.6,11.1,3,0
HYD,DEL,21.7,13.7,13,47
BOM,MAA,31.5,11.7,13,39
BOM,MAA,26.2,15.9,18,32
BLR,BOM,25.3,24.0,8,27
HYD,BOM,25.1,8.3,15,0
BOM,MAA,26.5,24.6,17,17
BOM,MAA,33.5,21.6,3,0
BOM,DEL,33.5,21.1,15,4
BLR,MAA,33.2,20.9,14,26
BLR,HYD,24.0,2.1,14,18
BOM,HYD,25.7,19.4,3,25
DEL,BOM,32.0,5.5,15,0
HYD,BOM,24.7,18.6,4,47
BLR,HYD,29.9,24.7,16,0
BLR,BOM,32.3,19.0,20,7
HYD,MAA,28.8,4.5,19,17
MAA,BLR,26.2,18.6,5,0
BOM,MAA,28.6,5.0,1,0
DEL,MAA,31.4,19.6,10,18
BLR,MAA,29.4,5.4,16,4
DEL,BLR,30.0,11.3,6,0
BOM,DEL,32.1,18.5,22,0
MAA,BLR,29.5,9.1,21,14
BLR,BOM,20.5,23.1,0,29
HYD,BLR,34.5,18.9,1,18
BOM,DEL,33.5,16.3,5,0
MAA,DEL,29.3,24.7,10,16
HYD,BOM,30.9,11.2,23,4
MAA,HYD,31.6,14.4,3,1
BLR,BOM,29.3,8.5,13,21
DEL,MAA,30.1,9.9,10,0
DEL,HYD,24.8,11.9,21,42
DEL,HYD,21.6,18.6,22,4
MAA,DEL,25.4,0.9,13,24
DEL,BLR,20.5,0.7,12,15
BOM,HYD,26.4,21.1,3,26
DEL,BLR,22.5,8.4,3,27
HYD,BLR,24.2,16.7,6,0
MAA,DEL,34.9,13.0,4,86
HYD,DEL,20.2,10.7,23,13
BLR,BOM,27.6,12.2,12,13
MAA,HYD,31.2,6.1,16,18
BOM,MAA,29.9,7.0,20,16
BLR,DEL,26.8,13.6,18,14
MAA,DEL,20.4,15.9,4,7
HYD,MAA,20.3,18.6,11,31
BOM,HYD,29.9,20.5,21,7
BLR,HYD,21.0,14.7,13,31
HYD,BLR,25.6,6.6,21,15
BOM,BLR,29.9,1.9,5,32
BLR,HYD,30.9,10.2,14,0
HYD,BOM,28.8,10.4,7,34
HYD,BOM,20.4,3.1,15,0
HYD,BLR,25.5,12.2,13,23
MAA,BOM,23.9,11.2,3,2
BOM,DEL,23.0,6.7,9,29
HYD,DEL,25.1,15.5,17,8
DEL,HYD,26.7,21.1,3,6
MAA,HYD,30.0,7.6,9,0
BLR,BOM,33.2,11.6,6,0
BOM,HYD,32.1,16.7,18,31
MAA,HYD,34.6,4.8,15,0
HYD,BOM,20.7,10.7,18,36
BOM,BLR,22.3,6.2,19,43
DEL,HYD,35.0,1.5,1,9
BOM,DEL,26.8,16.5,11,20
BOM,MAA,31.2,21.1,16,14
MAA,BOM,27.1,10.9,23,33
HYD,MAA,22.4,14.8,16,15
HYD,BOM,22.2,14.6,16,14
BLR,DEL,23.9,2.1,11,6
BLR,BOM,22.6,2.1,15,37
BLR,MAA,30.2,1.1,3,0
HYD,BOM,33.5,20.2,4,33
HYD,BLR,28.6,20.2,20,51
HYD,MAA,22.0,18.8,8,32
DEL,HYD,26.6,13.6,23,36
HYD,DEL,25.4,18.8,5,0
MAA,BLR,21.0,11.0,0,23
BOM,BLR,20.5,2.4,4,26
MAA,DEL,25.8,23.2,12,41
BOM,MAA,31.7,15.5,1,24
MAA,BOM,32.6,2.6,0,39
DEL,HYD,32.2,9.3,1,25
MAA,BLR,33.2,7.7,11,2
MAA,DEL,32.8,13.1,17,34
HYD,BLR,31.5,18.3,3,20
HYD,MAA,22.7,9.2,3,21
DEL,MAA,25.5,24.2,23,12
DEL,MAA,31.0,5.0,4,0
DEL,BOM,22.4,19.9,6,0
MAA,HYD,34.4,0.6,21,25
BOM,DEL,27.7,13.0,5,0
BOM,DEL,33.5,16.5,8,46
DEL,MAA,30.8,7.8,12,23
BLR,DEL,33.1,7.1,20,0
MAA,BLR,25.7,2.8,0,6
MAA,DEL,32.5,17.2,8,17
HYD,BLR,20.0,17.7,8,25
MAA,BLR,31.3,9.3,8,45
BOM,MAA,32.2,19.8,10,16
DEL,MAA,28.6,23.3,11,14
BLR,MAA,34.5,4.3,2,0
MAA,BOM,22.3,11.9,21,40
HYD,MAA,29.0,6.1,7,53
DEL,MAA,22.3,5.6,0,51
HYD,MAA,24.9,10.5,14,22
DEL,MAA,27.4,0.1,11,23
BLR,BOM,21.4,13.1,8,31
BLR,HYD,20.4,2.2,7,3
DEL,MAA,31.5,9.3,21,0
DEL,MAA,34.2,1.9,18,18
DEL,BOM,25.3,19.5,3,34
DEL,BLR,32.4,5.5,0,0
BOM,DEL,21.1,15.7,1,18
MAA,DEL,20.3,12.0,4,16
DEL,BLR,32.9,21.4,22,0
BLR,MAA,27.9,15.3,2,28
MAA,BLR,33.4,3.3,19,30
BLR,HYD,25.3,3.1,15,0
BOM,DEL,20.4,0.6,3,8
MAA,BLR,30.3,2.4,19,11
BOM,MAA,29.7,2.6,16,0
HYD,MAA,23.7,5.4,5,19
HYD,MAA,33.4,22.9,17,31
MAA,HYD,24.9,15.9,8,0
BLR,DEL,31.8,7.1,4,12
MAA,BLR,27.9,10.2,17,5
BLR,MAA,21.9,8.1,16,24
DEL,BOM,23.8,21.1,18,0
BOM,DEL,25.9,2.2,11,18
DEL,BLR,30.5,19.9,12,5
HYD,MAA,28.7,13.2,2,65
DEL,HYD,30.7,22.9,7,0
HYD,MAA,31.2,24.7,0,34
HYD,DEL,20.6,17.8,7,0
MAA,BLR,25.4,3.3,9,17
HYD,BLR,26.3,10.4,11,0
BLR,MAA,32.5,3.3,19,41
BLR,MAA,33.2,0.9,3,27
BLR,MAA,30.2,14.1,0,45
BOM,MAA,21.6,4.1,4,42
BOM,BLR,22.7,11.5,6,27
BOM,HYD,23.0,6.1,23,15
HYD,BLR,20.3,3.7,9,18
MAA,DEL,25.3,14.1,20,17
DEL,HYD,30.5,4.3,15,0
HYD,BLR,24.5,23.0,18,0
DEL,MAA,23.9,18.3,18,53
MAA,DEL,29.8,2.3,4,33
DEL,BOM,21.9,16.8,0,37
HYD,DEL,27.8,3.1,22,5
BLR,BOM,21.1,17.1,23,20
BOM,DEL,20.7,12.9,9,0
BOM,MAA,32.4,14.5,17,25
DEL,HYD,27.9,15.9,22,31
DEL,BOM,22.2,10.4,23,20
BOM,HYD,32.5,10.8,15,7
DEL,BOM,29.5,17.0,9,61
BLR,MAA,24.5,1.1,22,52
DEL,BOM,20.9,17.4,7,47
BOM,DEL,20.9,23.9,17,6
BOM,MAA,32.2,23.2,12,16
HYD,MAA,27.5,8.6,15,9
BOM,MAA,24.5,10.4,18,12
BOM,DEL,33.7,1.5,7,51
MAA,HYD,32.5,23.2,16,55
BOM,BLR,27.7,16.9,7,33
HYD,DEL,31.1,18.9,0,23
BLR,MAA,23.1,1.9,22,7
HYD,BOM,32.4,23.1,0,0
DEL,BLR,21.1,2.4,5,5
HYD,BOM,30.7,1.6,6,0
BOM,HYD,23.7,11.3,22,28
DEL,BLR,25.9,19.5,23,40
HYD,MAA,29.5,20.6,17,20
BOM,HYD,26.7,16.9,10,52
BLR,BOM,20.7,18.4,8,70
MAA,BOM,22.1,2.0,18,29
BLR,DEL,22.2,15.3,15,0
DEL,BLR,27.5,16.9,23,0
BLR,MAA,34.7,21.1,2,49
DEL,BOM,29.3,0.1,16,17
BLR,BOM,34.9,10.4,4,15
BOM,HYD,21.0,18.5,17,9
BOM,MAA,34.6,11.9,13,11
DEL,MAA,24.8,0.6,3,22
MAA,BOM,26.2,8.8,15,0
BOM,DEL,27.6,16.4,13,0
BLR,HYD,23.3,0.5,6,19
DEL,BLR,29.4,8.4,10,39
BLR,HYD,29.5,19.2,5,22
BLR,MAA,20.2,10.5,12,39
BLR,BOM,27.8,19.7,17,1
MAA,BOM,22.9,11.2,18,21
MAA,BOM,23.3,15.6,1,9
HYD,BLR,28.4,15.7,5,18
HYD,MAA,32.8,5.7,19,0
BOM,BLR,21.2,16.7,23,13
HYD,BLR,22.9,4.4,16,0
HYD,BLR,28.1,9.5,0,15
BLR,HYD,29.2,24.4,4,29
BLR,DEL,28.8,24.9,13,36
DEL,HYD,30.6,1.3,14,7
BLR,BOM,25.8,14.9,18,8
HYD,DEL,30.0,21.4,6,11
BOM,BLR,30.7,1.0,12,28
HYD,MAA,29.2,3.3,5,0
DEL,BLR,20.2,23.9,3,31
DEL,HYD,24.8,10.0,18,19
DEL,HYD,21.3,12.1,13,0
BOM,DEL,28.4,16.2,7,9
BLR,HYD,24.4,23.0,15,1
DEL,BOM,24.4,11.2,2,9
HYD,BOM,28.1,2.9,11,11
BOM,DEL,21.7,2.0,2,48
BOM,HYD,29.5,3.0,12,22
DEL,MAA,32.1,5.8,14,20
HYD,BOM,20.3,0.1,5,15
MAA,DEL,23.7,6.2,15,0
HYD,BOM,23.4,20.8,0,7
MAA,DEL,31.8,1.2,13,0
DEL,BLR,26.5,24.8,2,13
BLR,DEL,26.4,17.5,7,14
DEL,MAA,21.8,15.3,21,36
MAA,DEL,29.0,20.9,13,13
MAA,BLR,34.2,22.9,23,0
HYD,DEL,29.3,20.3,6,46
HYD,MAA,33.8,23.9,9,31
BOM,MAA,20.5,12.7,17,28
HYD,DEL,29.1,12.7,15,0
BOM,BLR,23.6,9.6,7,26
BLR,BOM,28.0,11.0,3,0
BLR,HYD,23.8,8.5,16,9
DEL,HYD,22.7,5.8,7,0
MAA,BLR,23.6,4.5,0,32
DEL,MAA,34.3,9.2,19,18
DEL,MAA,29.2,16.0,1,19
MAA,BLR,22.4,12.5,16,44
HYD,MAA,31.5,11.2,23,9
HYD,BOM,24.7,22.8,7,30
DEL,BLR,21.5,12.8,17,13
BOM,MAA,27.4,0.9,16,19
BLR,BOM,24.4,13.3,6,9
DEL,BLR,32.7,10.2,7,0
DEL,BLR,31.8,14.2,22,0
BOM,HYD,23.1,3.5,16,21
HYD,BOM,33.1,12.0,14,0
BOM,HYD,30.3,20.4,11,23
BLR,DEL,23.1,18.6,16,22
MAA,BLR,31.8,9.6,5,22
BLR,MAA,28.1,12.3,16,14
MAA,DEL,25.0,21.9,13,0
DEL,MAA,25.7,14.4,23,15
DEL,MAA,21.4,23.5,10,2
DEL,BLR,21.9,19.5,10,1
DEL,MAA,23.2,3.5,16,16
BLR,BOM,27.6,23.7,16,6
BLR,MAA,20.3,1.9,9,53
BOM,MAA,22.3,18.5,14,0
HYD,DEL,24.7,9.7,8,26
BOM,BLR,24.6,22.9,4,11
DEL,MAA,27.4,3.5,18,9
BLR,MAA,31.1,23.1,15,0
BLR,MAA,26.5,15.9,1,0
DEL,HYD,33.6,19.0,11,0
HYD,DEL,28.2,6.5,0,0
BOM,MAA,33.2,17.2,11,0
MAA,HYD,22.8,22.4,4,15
BLR,BOM,21.9,21.1,22,14
HYD,BLR,26.1,3.7,20,0
MAA,BLR,32.0,1.4,7,62
HYD,DEL,21.5,13.7,10,0
MAA,BOM,27.4,18.3,11,33
BOM,HYD,28.2,8.1,18,13
MAA,BLR,34.5,12.9,6,16
BLR,MAA,23.5,6.7,7,25
MAA,BOM,28.0,0.3,6,17
DEL,BOM,32.5,19.5,9,37
MAA,HYD,20.7,7.0,5,69
MAA,BOM,22.9,7.9,7,0
BOM,MAA,29.9,4.3,11,7
MAA,BLR,22.9,14.5,4,0
MAA,BOM,32.4,17.7,10,24
DEL,HYD,23.5,9.8,2,1
DEL,BOM,33.4,6.0,21,0
MAA,DEL,33.0,1.2,9,0
MAA,BLR,21.2,11.2,2,0
DEL,BLR,27.4,21.9,6,34
HYD,BOM,30.5,13.0,22,0
DEL,MAA,26.1,16.7,10,1
BLR,MAA,28.9,23.9,4,0
DEL,MAA,23.3,9.1,6,9
MAA,DEL,29.6,3.9,2,11
BLR,BOM,33.2,16.0,2,21
MAA,HYD,32.4,15.5,0,5
BOM,HYD,29.7,12.2,10,4
MAA,BLR,32.4,15.6,4,0
HYD,BOM,28.4,2.7,22,35
BOM,HYD,20.9,6.1,17,23
MAA,BLR,26.5,19.4,19,8
DEL,BOM,30.1,0.7,7,36
BLR,MAA,21.8,7.6,12,22
MAA,BOM,34.9,1.8,14,35
BOM,HYD,22.3,0.0,6,37
BLR,BOM,32.3,5.5,6,27
MAA,DEL,23.0,10.2,23,2
DEL,BOM,25.6,2.8,13,0
DEL,MAA,28.7,24.1,0,58
BOM,BLR,23.9,18.9,11,0
MAA,BLR,23.3,22.5,21,16
MAA,BLR,27.0,0.4,21,27
MAA,DEL,31.2,19.7,12,11
DEL,HYD,33.8,4.8,2,18
DEL,BOM,20.6,23.4,8,32
MAA,HYD,27.8,4.2,0,8
BLR,MAA,32.7,20.3,21,21
MAA,BOM,28.9,13.6,12,5
HYD,MAA,20.7,15.1,13,0
BLR,MAA,25.2,8.5,2,0
MAA,BLR,30.1,7.0,8,32
DEL,BLR,31.6,23.3,4,1
MAA,BOM,27.3,24.2,16,0
BOM,BLR,32.2,6.3,23,5
HYD,DEL,32.8,25.0,1,29
BLR,MAA,23.2,11.7,12,0
HYD,MAA,26.0,16.9,8,47
MAA,BLR,22.2,19.4,3,36
BLR,BOM,23.7,0.7,0,0
BOM,DEL,33.5,12.3,3,42
MAA,DEL,22.7,22.1,8,43
BLR,MAA,34.2,19.4,23,0
BLR,HYD,31.1,6.0,14,37
MAA,DEL,32.2,9.4,19,32
BOM,HYD,33.5,0.0,9,25
HYD,BLR,34.9,20.5,18,22
BLR,BOM,28.7,3.4,4,19
MAA,BLR,30.1,16.0,8,21
DEL,BOM,28.7,23.1,2,26
MAA,HYD,31.3,16.1,18,19
HYD,BLR,25.4,13.7,20,0
BOM,DEL,24.8,24.1,20,60
BLR,MAA,28.1,19.6,22,0
BOM,BLR,28.8,23.6,7,38
DEL,MAA,30.7,12.5,0,19
BLR,DEL,29.3,11.3,7,54
BOM,DEL,20.2,19.3,1,40
DEL,HYD,31.5,13.4,5,26
BOM,BLR,30.4,6.9,4,0
BOM,BLR,26.8,20.5,3,6
BLR,MAA,25.7,7.0,9,22
BOM,HYD,26.4,8.9,15,37
DEL,BLR,33.2,1.7,20,17
BOM,MAA,25.9,24.9,7,41
DEL,BLR,22.2,15.3,18,14
MAA,DEL,28.0,6.5,2,27
HYD,MAA,29.9,18.5,21,60
BLR,BOM,26.5,23.4,1,24
DEL,BLR,20.9,20.8,14,7
DEL,MAA,23.2,7.6,15,2
